time,close,high,low,open,volumefrom,volumeto
1515705540,1170.63,1172.03,1166.25,1166.78,673.72,786057.9
1515705600,1171.16,1172.71,1170.66,1170.66,175.98,207752.58
1515705660,1174.65,1175.13,1171.16,1171.16,237.86,280078.49
1515705720,1176.48,1176.48,1174.65,1174.65,214.02,252101.17
1515705780,1176.51,1177.25,1176.02,1176.48,167.67,197171.95
1515705840,1176.1,1177.39,1176.1,1176.91,243.92,286701.26
1515705900,1173.13,1176.1,1172.96,1176.1,168.74,198659.54
1515705960,1173.44,1173.7,1172.58,1173.13,117.38,138320.14
1515706020,1174.78,1175,1172.96,1173.44,162.07,190958.93
1515706080,1174.89,1175.94,1174.53,1174.78,138.51,162861.76
1515706140,1175.42,1175.86,1174.72,1174.89,124.44,147834.91
1515706200,1176.04,1176.38,1175.28,1175.42,254.52,299479.57
1515706260,1173.26,1176.11,1173.26,1176.04,204.77,241963.42
1515706320,1171.48,1173.27,1171.3,1173.23,166.56,194784.09
1515706380,1167.38,1172.28,1166.89,1171.48,296.42,347716.33
1515706440,1165.34,1167.48,1164.95,1167.38,408.83,480256.31
1515706500,1165.7,1166.59,1164.69,1165.32,380.79,444381.72
1515706560,1165.62,1166.62,1164.38,1165.72,292.09,341061.93
1515706620,1165.01,1165.57,1164.32,1165.57,154.11,182140.37
1515706680,1163.99,1165.07,1162.98,1165.01,227.22,266608.28
1515706740,1164.24,1165.55,1163.69,1164.2,281.46,331821.25
1515706800,1164.01,1165.41,1162.9,1164.23,770.2,895626.92
1515706860,1164.33,1165.63,1164.32,1164.86,774.23,905356.24
1515706920,1164.46,1164.99,1163.26,1164.33,408.57,474849.77
1515706980,1162.73,1164.56,1162.45,1164.46,232,273262.82
1515707040,1164,1164.61,1162.45,1162.67,183.95,214582.76
1515707100,1165.5,1166.24,1164.06,1164.06,213.95,249999.74
1515707160,1163.24,1165.71,1163.24,1165.48,270.25,315143.38
1515707220,1164.16,1164.82,1163.22,1163.62,228.25,265598.68
1515707280,1164.37,1164.77,1163.75,1164.02,228.81,266195.15
1515707340,1161.59,1164.37,1161.59,1164.37,694.9,806317.81
1515707400,1161.72,1162.04,1160.25,1161.59,540.46,626544.86
1515707460,1162.49,1162.49,1159.25,1161.79,938.1,1087288.15
1515707520,1164.02,1164.68,1162.29,1162.52,231.53,269940.71
1515707580,1166.52,1166.66,1164.08,1164.37,700.06,814638.27
1515707640,1168.19,1168.46,1166.35,1166.76,865.97,1010703.67
1515707700,1171.38,1171.38,1167.88,1167.88,338.9,396848.15
1515707760,1175.47,1175.83,1171.47,1171.73,808.61,949061.69
1515707820,1177.99,1177.99,1175.11,1175.74,460.85,541748
1515707880,1175.78,1178,1175.23,1177.37,675.44,794882.3
1515707940,1177.44,1177.61,1175.09,1175.09,327.73,385386.41
1515708000,1177.63,1177.7,1174.95,1177.59,321.05,378231.66
1515708060,1178.17,1178.77,1177.33,1177.63,278.61,337078.53
1515708120,1176.84,1178.17,1175.56,1178.17,253.75,298159.17
1515708180,1177.9,1177.96,1176.51,1176.86,135.72,159512.81
1515708240,1177.77,1178.26,1177.1,1177.9,195.66,230216
1515708300,1177.11,1177.52,1176.33,1177.23,209.46,246413.5
1515708360,1175.33,1176.74,1175.22,1176.46,164.98,194280.57
1515708420,1173.46,1175.6,1173.46,1175.33,246.6,290911.93
1515708480,1173.32,1174.27,1173.18,1173.46,168.84,197673.9
1515708540,1174.19,1174.45,1173.24,1173.32,147.94,173848.03
1515708600,1173.45,1174.19,1173.03,1174.19,206.9,242641.58
1515708660,1173.92,1174.6,1173.45,1173.45,162.02,190106.9
1515708720,1172.87,1174.22,1171.91,1173.57,182,213149.09
1515708780,1171.92,1173.07,1171.66,1172.87,172.09,201951.55
1515708840,1172.77,1173.06,1171.92,1171.92,111.32,130892.55
1515708900,1171.95,1173.24,1171.91,1173.2,312.09,365003.75
1515708960,1167.5,1171.95,1167.33,1171.95,314.32,369726.02
1515709020,1167.8,1168.66,1167.3,1167.5,192.35,224480.82
1515709080,1167.43,1168.08,1167.06,1167.8,100.45,117178.71
